amount,transaction_type,location,time,device_id,label
1633.4,Transfer,Seattle,19,1059,0
1949.5,Online,San Francisco,8,1017,0
1364.03,ATM,Chicago,7,1062,0
4145.4,POS,New York,14,1060,0
1790.2,Online,Houston,1,1048,0
1411.86,Online,Dallas,23,1046,1
2718.05,Cheque,Los Angeles,0,1038,0
713.21,BillPay,Chicago,8,1088,0
4012.96,Transfer,Los Angeles,8,1081,1
382.01,Transfer,Los Angeles,12,1005,0
4934.57,POS,Atlanta,7,1082,0
3863.5,ATM,Boston,20,1052,0
1001.59,POS,Chicago,4,1075,0
37.56,Online,Seattle,2,1024,0
4079.15,Online,Boston,20,1098,1
3537.22,Transfer,Chicago,3,1064,1
3647.75,ATM,Los Angeles,16,1004,0
3858.64,BillPay,Boston,15,1064,0
379.48,ATM,Chicago,15,1007,0
1798.74,Online,Seattle,19,1038,0
588.19,BillPay,New York,2,1042,0
4316.89,ATM,San Francisco,5,1081,0
3120.26,ATM,Dallas,0,1072,0
1661.18,BillPay,Chicago,20,1004,0
327.16,Online,Seattle,15,1003,0
1561.8,ATM,San Francisco,14,1092,0
1632.66,BillPay,Boston,6,1000,0
3650.73,Cheque,Chicago,1,1093,0
3191.41,Cheque,Chicago,9,1055,0
4437.19,Online,Houston,14,1044,1
2366.35,BillPay,Chicago,5,1064,0
606.78,Cheque,Dallas,1,1002,0
3569.09,BillPay,Houston,23,1021,1
3806.32,ATM,San Francisco,23,1071,1
2810.77,Online,Boston,16,1055,0
3857.13,Cheque,Boston,0,1017,0
2474.04,ATM,Miami,0,1024,0
2618.44,POS,Miami,3,1047,0
2143.43,POS,San Francisco,19,1083,0
136.84,Online,Atlanta,15,1030,0
548.38,Cheque,Seattle,7,1029,0
166.83,Cheque,Atlanta,0,1079,0
3185.69,Cheque,Seattle,18,1065,0
1578.64,BillPay,Houston,10,1080,0
2547.77,ATM,San Francisco,16,1009,0
4538.76,Cheque,Seattle,9,1070,0
1253.97,ATM,Miami,11,1058,0
2057.81,Online,Miami,8,1050,0
3780.2,Cheque,Los Angeles,6,1008,0
1151.7,Online,Seattle,11,1053,0
394.13,Cheque,San Francisco,14,1061,0
1455.86,POS,New York,7,1080,0
814.49,Transfer,Houston,16,1008,0
4649.19,Online,Chicago,4,1008,1
4042.52,Cheque,Chicago,13,1023,0
3170.68,Transfer,Seattle,1,1038,1
4358.59,Online,Atlanta,15,1074,1
4020.32,BillPay,Houston,16,1007,0
940.98,Cheque,Boston,2,1024,0
4463.87,BillPay,Dallas,22,1065,0
2701.32,POS,Chicago,0,1009,0
4039.13,Cheque,Miami,17,1023,0
4481.5,POS,Houston,17,1079,0
1596.84,Transfer,Atlanta,3,1082,0
559.16,Online,San Francisco,14,1058,0
1147.4,ATM,Atlanta,18,1030,0
2141.27,POS,Houston,18,1010,0
4091.89,ATM,Boston,9,1005,0
4305.05,ATM,Chicago,4,1069,0
44.69,Online,Miami,18,1031,0
2558.63,Transfer,New York,10,1038,0
2092.88,Online,San Francisco,6,1047,0
1118.32,Cheque,Miami,4,1012,0
608.13,POS,Boston,19,1058,0
1694.7,ATM,Dallas,11,1066,0
4715.12,Online,Boston,18,1055,1
1622.78,Online,Boston,14,1040,0
2598.77,Online,Chicago,11,1055,0
3518.06,POS,Houston,3,1034,0
1824.51,Transfer,Houston,11,1037,0
4859.19,Online,Miami,17,1080,1
4812.61,POS,Dallas,16,1066,0
1266.39,ATM,Dallas,18,1033,0
2491.27,Cheque,Atlanta,15,1075,0
1511.38,BillPay,New York,10,1087,0
1431.35,POS,Boston,1,1069,0
194.07,BillPay,New York,15,1010,0
3051.73,Online,Los Angeles,0,1026,1
2518.37,Online,Seattle,16,1047,0
266.88,POS,Boston,17,1023,0
1400.45,BillPay,New York,12,1017,0
4542.25,Online,Chicago,4,1026,1
1205.41,ATM,Seattle,23,1053,0
733.03,Transfer,Dallas,5,1054,0
2452.37,Transfer,Boston,0,1020,0
4928.4,Online,Boston,9,1058,1
1217.86,BillPay,Dallas,4,1033,0
3363.96,Cheque,Atlanta,0,1096,0
3810.48,Online,Chicago,22,1057,1
1195.81,Cheque,Boston,10,1047,0
3643.8,Cheque,New York,23,1053,1
1845.24,BillPay,Boston,23,1017,0
3165.21,Cheque,Seattle,6,1002,0
3171.31,ATM,Boston,17,1023,0
2683.52,BillPay,New York,20,1000,0
460.55,Online,San Francisco,19,1005,0
4178.16,ATM,Seattle,20,1018,0
1610.69,POS,Miami,9,1085,0
940.73,Transfer,Miami,14,1042,0
213.47,Online,Seattle,3,1007,0
2958.56,Online,Chicago,15,1068,0
3391.05,Online,San Francisco,14,1051,1
92.77,ATM,Seattle,14,1072,0
2565.34,POS,New York,11,1046,0
1140.21,BillPay,Los Angeles,7,1084,0
3229.41,POS,Houston,7,1027,0
880.09,ATM,Boston,17,1045,0
3457.78,Online,Atlanta,5,1003,1
1939.81,Transfer,San Francisco,4,1087,0
4684.28,Online,New York,1,1007,1
696.23,BillPay,Atlanta,11,1060,0
1711.92,Cheque,Miami,3,1016,0
576.23,Transfer,Seattle,22,1033,0
4624.22,Online,San Francisco,12,1019,1
4387.92,Transfer,Dallas,16,1079,1
1297.13,Cheque,Boston,15,1073,0
3303.32,POS,Houston,8,1033,0
4087.94,ATM,Miami,0,1042,0
2780.45,Online,Seattle,14,1009,0
2652.96,BillPay,Boston,11,1093,0
1216.84,POS,Miami,4,1029,0
474.58,Online,Dallas,22,1024,0
4487.11,POS,Atlanta,23,1056,1
4503.09,BillPay,Houston,17,1062,0
3169.18,Online,Houston,19,1070,1
1701.76,Cheque,Boston,1,1046,0
1752.56,Cheque,New York,3,1083,0
3632.52,BillPay,Boston,14,1080,0
4486.58,Transfer,Miami,5,1002,1
4436.56,BillPay,New York,21,1045,0
3901.58,Transfer,Houston,11,1035,1
3213.74,Online,Los Angeles,17,1025,1
429.86,Transfer,Houston,19,1009,0
816.53,Online,Boston,3,1033,0
4493.79,Online,Miami,0,1077,1
3036.08,ATM,New York,14,1007,0
55.89,Online,Seattle,17,1054,0
516.34,Transfer,New York,13,1090,0
3320.87,ATM,Dallas,2,1009,0
35.26,ATM,Chicago,14,1056,0
812.43,Online,Chicago,4,1078,0
2748.18,BillPay,San Francisco,23,1085,0
3462.56,BillPay,Atlanta,21,1044,0
3263.29,Cheque,San Francisco,2,1049,0
1129.1,ATM,San Francisco,21,1063,0
3563.77,Online,New York,6,1094,1
1193.87,BillPay,Miami,5,1001,0
1633.74,Online,San Francisco,21,1044,0
3734.99,Online,Boston,0,1094,1
3251.67,ATM,New York,18,1061,0
4247.62,Cheque,Miami,6,1013,0
3291.49,ATM,Chicago,3,1073,0
2845.86,POS,Los Angeles,11,1093,0
477.44,BillPay,Boston,19,1099,0
1844.9,BillPay,Seattle,22,1014,0
1333.36,BillPay,Atlanta,17,1013,0
1227.51,Transfer,Seattle,8,1030,0
4865.32,Online,Miami,18,1028,1
1971.56,ATM,Dallas,21,1026,0
4461.31,BillPay,Miami,3,1084,0
3159.38,POS,Los Angeles,0,1008,0
3976.11,BillPay,Chicago,8,1019,0
2518.16,Cheque,Houston,14,1098,0
2888.75,Online,Miami,21,1057,0
2467.66,Online,Chicago,7,1078,0
984.26,ATM,Seattle,14,1087,0
3615.04,Transfer,Miami,14,1048,1
1411.05,ATM,Miami,17,1056,0
131.34,BillPay,San Francisco,6,1015,0
3230.91,Cheque,Seattle,21,1099,0
893.78,POS,Atlanta,17,1074,0
4702.89,ATM,Atlanta,15,1007,0
4770.1,Transfer,Boston,1,1066,1
4575.17,ATM,Dallas,3,1018,0
1857.09,Online,Houston,19,1066,0
87.13,BillPay,Miami,15,1035,0
4642.31,BillPay,Miami,2,1088,0
2146.64,BillPay,Boston,23,1059,0
4833.61,BillPay,Dallas,22,1035,0
4818.46,BillPay,Seattle,1,1010,0
4266.52,BillPay,Miami,2,1050,0
1479.3,POS,Chicago,4,1079,0
1931.64,Transfer,New York,1,1054,0
4257.17,BillPay,Dallas,18,1053,0
1591.44,Transfer,Miami,23,1016,1
855.77,Cheque,Dallas,19,1061,0
2788.44,BillPay,Atlanta,1,1041,0
4681.41,ATM,Houston,1,1023,0
3483.19,BillPay,Miami,21,1016,0
2854.61,Online,Houston,23,1047,1
494.91,POS,Los Angeles,22,1083,0
3078.89,ATM,New York,19,1085,0
4950.37,ATM,Boston,17,1069,0
709.02,Online,Houston,19,1006,0
2596.46,BillPay,Miami,20,1013,0
4388.09,POS,San Francisco,13,1010,0
3706.44,ATM,Boston,14,1011,0
3488.11,POS,Boston,11,1004,0
3515.4,ATM,Seattle,10,1004,0
1803.86,BillPay,Houston,10,1019,0
1475.02,Cheque,San Francisco,6,1053,0
4048.71,ATM,Houston,11,1054,0
4052.47,Cheque,Seattle,15,1057,0
4336.69,ATM,New York,4,1078,0
4567.07,Transfer,Miami,1,1089,1
2561.6,BillPay,Atlanta,21,1096,0
2512.57,Online,Atlanta,15,1029,0
3993.49,Cheque,Houston,22,1023,0
3253.32,Online,Seattle,14,1086,1
3512.81,BillPay,Dallas,10,1072,0
3981.01,Online,Miami,5,1002,1
4451.13,BillPay,Houston,12,1099,0
1696.6,Online,Dallas,18,1047,0
1884.16,Cheque,Miami,9,1070,0
478.97,Transfer,Dallas,23,1021,1
2895.62,Online,Boston,18,1013,0
189.35,Cheque,Houston,4,1047,0
2333.33,ATM,Seattle,20,1028,0
2717.8,BillPay,Miami,6,1049,0
1439.84,POS,Atlanta,10,1079,0
2958.26,POS,Houston,13,1097,0
162.2,BillPay,Miami,22,1009,0
196.37,Transfer,Miami,20,1070,0
4114.78,Online,Dallas,15,1088,1
1807.35,Transfer,Dallas,17,1026,0
644.03,POS,San Francisco,20,1078,0
2615.99,Cheque,Houston,22,1095,0
3852.27,BillPay,Los Angeles,22,1027,0
1086.95,BillPay,Chicago,3,1008,0
3118.22,Transfer,Los Angeles,0,1070,1
435.88,Cheque,Miami,21,1079,0
267.89,Transfer,San Francisco,14,1025,0
2661.46,Online,Miami,13,1098,0
2707.77,ATM,Los Angeles,18,1080,0
3190.78,Cheque,Miami,4,1086,0
3633.2,ATM,Dallas,3,1007,0
4879.5,Online,Houston,12,1001,1
2586.34,ATM,Atlanta,17,1094,0
1621.55,POS,Los Angeles,11,1056,0
3977.98,ATM,Chicago,22,1051,0
1361.45,Online,Chicago,20,1057,0
2200.47,ATM,Dallas,14,1095,0
401.5,BillPay,Houston,22,1092,0
136.5,Transfer,New York,8,1002,0
4813.62,POS,New York,3,1007,0
4181.54,BillPay,Seattle,4,1058,0
3482.91,BillPay,Seattle,8,1001,0
2050.68,Online,Los Angeles,12,1094,0
874.74,Transfer,Dallas,9,1061,0
790.62,Transfer,Dallas,15,1048,0
1258.71,Cheque,Miami,12,1019,0
2750.64,POS,Chicago,3,1028,0
3575.83,Online,Chicago,20,1016,1
3304.38,POS,Chicago,12,1073,0
1406.87,Cheque,San Francisco,20,1021,0
4774.78,ATM,Houston,7,1005,0
3692.11,BillPay,Boston,12,1061,0
2776.23,POS,Miami,14,1097,0
3062.49,BillPay,New York,19,1030,0
2103.8,Online,Dallas,19,1061,0
1246.18,ATM,New York,12,1011,0
1786.3,Online,San Francisco,22,1011,0
3791.65,ATM,New York,4,1062,0
81.82,ATM,Chicago,21,1015,0
589.2,BillPay,Atlanta,21,1024,0
239.55,Online,Miami,5,1021,0
213.24,Online,Atlanta,4,1090,0
4278.75,POS,Seattle,12,1087,0
3521.25,Online,Atlanta,4,1075,1
2376.13,POS,Boston,12,1017,0
498.19,Transfer,Dallas,23,1044,1
2463.16,Transfer,San Francisco,19,1079,0
2372.62,Transfer,Dallas,22,1067,0
874.28,Cheque,Boston,7,1011,0
2174.92,Online,Dallas,8,1048,0
1998.54,Cheque,Atlanta,20,1032,0
3083.09,Online,Houston,18,1085,1
3179.12,POS,Dallas,19,1062,0
236.07,Cheque,Seattle,14,1017,0
1879.32,Cheque,Miami,21,1053,0
3133.04,Cheque,Miami,9,1096,0
2520.65,ATM,New York,10,1026,0
4283.88,POS,Los Angeles,4,1082,0
3296.88,Transfer,Atlanta,8,1077,1
823.04,POS,Chicago,10,1024,0
362.14,ATM,Boston,18,1033,0
3215.67,Online,San Francisco,1,1087,1
142.29,POS,Atlanta,5,1059,0
2933.02,Cheque,Miami,22,1053,0
4701.75,Transfer,New York,20,1086,1
2881.62,Transfer,Dallas,0,1004,0
1946.97,Online,Chicago,2,1035,0
3220.01,POS,Chicago,2,1053,0
2296.68,ATM,Los Angeles,13,1087,0
2732.63,Online,Houston,19,1035,0
4707.91,POS,Los Angeles,21,1068,0
1936.65,BillPay,Dallas,4,1038,0
4806.34,Transfer,Atlanta,16,1069,1
4527.7,ATM,Seattle,14,1099,0
987.0,Cheque,Boston,5,1003,0
356.11,ATM,Chicago,13,1073,0
512.88,Cheque,San Francisco,13,1064,0
100.93,ATM,Atlanta,16,1084,0
481.27,Transfer,San Francisco,7,1039,0
3418.2,Cheque,New York,7,1036,0
365.23,POS,San Francisco,18,1066,0
1601.69,Cheque,Chicago,8,1030,0
4225.93,Online,Chicago,10,1090,1
126.13,POS,Chicago,12,1080,0
4074.2,Online,Atlanta,12,1086,1
1416.46,ATM,Atlanta,23,1076,0
599.64,POS,Boston,18,1046,0
3486.72,ATM,Miami,20,1026,0
3148.42,BillPay,Houston,18,1050,0
4388.59,ATM,Dallas,4,1019,0
3678.0,ATM,Dallas,15,1012,0
4019.37,Online,New York,8,1062,1
1417.35,Cheque,Los Angeles,19,1043,0
895.42,BillPay,Boston,21,1023,0
3755.57,ATM,Miami,2,1002,0
4036.11,ATM,Seattle,18,1009,0
4952.62,BillPay,New York,4,1064,0
2068.96,BillPay,Atlanta,7,1048,0
1866.37,POS,Miami,13,1057,0
3884.3,Online,Chicago,23,1076,1
1710.61,BillPay,Atlanta,2,1077,0
4654.48,BillPay,Los Angeles,23,1096,1
4293.48,Transfer,Los Angeles,12,1001,1
2150.68,Cheque,Dallas,10,1065,0
3756.85,BillPay,Houston,7,1030,0
3775.17,Online,Houston,18,1067,1
524.59,Cheque,Seattle,9,1097,0
4513.74,Cheque,Atlanta,17,1082,0
2531.21,ATM,Atlanta,17,1036,0
4134.02,ATM,Los Angeles,6,1072,0
1607.05,ATM,Chicago,15,1023,0
4478.66,ATM,Chicago,5,1076,0
1952.12,Transfer,San Francisco,15,1043,0
64.08,BillPay,Chicago,15,1093,0
4527.86,ATM,Miami,22,1082,0
465.52,POS,Houston,23,1040,0
1603.38,ATM,Chicago,0,1073,0
4750.81,BillPay,Boston,23,1050,1
4753.53,ATM,Atlanta,18,1041,0
2871.46,Transfer,Chicago,2,1077,0
3162.87,Online,San Francisco,5,1039,1
2247.74,Online,Seattle,3,1047,0
1473.12,BillPay,Seattle,3,1083,0
1650.04,Online,Los Angeles,3,1003,0
3365.87,Online,Chicago,9,1059,1
3764.35,POS,Atlanta,8,1038,0
3959.98,BillPay,Atlanta,7,1004,0
3950.19,BillPay,Houston,18,1095,0
465.12,Online,Seattle,16,1005,0
2477.16,Online,Los Angeles,16,1013,0
297.22,Online,Chicago,0,1069,0
2752.15,Cheque,Seattle,19,1077,0
2213.24,Transfer,Seattle,13,1011,0
4439.64,ATM,Atlanta,21,1061,0
1761.07,Transfer,Chicago,19,1026,0
594.16,BillPay,New York,10,1053,0
723.53,POS,Chicago,2,1089,0
3809.94,ATM,Miami,23,1011,1
3094.91,POS,Seattle,7,1007,0
514.6,Cheque,Houston,21,1073,0
429.69,BillPay,New York,9,1015,0
3507.84,Cheque,San Francisco,16,1051,0
373.09,BillPay,Los Angeles,7,1025,0
4111.08,POS,Chicago,21,1007,0
3534.15,POS,Houston,0,1044,0
415.93,POS,San Francisco,19,1092,0
433.34,BillPay,San Francisco,20,1083,0
4933.33,Online,Seattle,6,1080,1
1877.61,POS,Miami,23,1018,0
1859.5,Cheque,Seattle,8,1016,0
4065.87,ATM,Los Angeles,11,1064,0
4736.77,BillPay,New York,21,1028,0
4930.15,Cheque,Atlanta,8,1013,0
3769.36,Transfer,Boston,19,1016,1
1887.54,Transfer,New York,23,1012,1
426.67,ATM,Los Angeles,2,1092,0
3887.96,Online,Atlanta,3,1097,1
2796.44,POS,San Francisco,9,1090,0
2126.87,BillPay,New York,3,1062,0
4532.71,Cheque,Atlanta,21,1032,0
564.88,POS,Chicago,8,1028,0
2468.2,Cheque,Seattle,21,1036,0
66.65,BillPay,Boston,0,1082,0
2348.62,Transfer,Houston,4,1045,0
290.95,POS,Chicago,8,1023,0
602.9,ATM,New York,4,1013,0
596.46,Online,Dallas,5,1004,0
3249.56,ATM,Atlanta,18,1052,0
3732.76,Online,San Francisco,7,1087,1
2921.01,Cheque,San Francisco,9,1097,0
4811.24,POS,Dallas,10,1094,0
1880.6,POS,New York,12,1029,0
1435.7,Online,San Francisco,19,1059,0
4344.31,Transfer,Miami,3,1072,1
1125.74,BillPay,San Francisco,10,1090,0
4816.48,ATM,Boston,11,1027,0
70.65,Cheque,Miami,4,1025,0
4849.7,ATM,Los Angeles,9,1017,0
225.37,ATM,Los Angeles,23,1035,0
4456.8,Cheque,Atlanta,6,1007,0
2643.23,Cheque,Miami,20,1017,0
4964.89,POS,Chicago,8,1083,0
378.24,ATM,Atlanta,8,1057,0
2773.73,BillPay,Chicago,9,1031,0
4846.82,BillPay,Boston,9,1092,0
2620.26,Online,Seattle,1,1048,0
3150.7,Cheque,New York,3,1047,0
3481.79,POS,Miami,7,1081,0
2278.16,BillPay,Dallas,13,1070,0
3141.51,Transfer,Houston,16,1064,1
2925.73,POS,New York,12,1091,0
4506.78,POS,Boston,20,1032,0
236.78,BillPay,Miami,23,1049,0
1412.01,Transfer,Los Angeles,17,1003,0
4752.55,Online,New York,17,1083,1
4452.42,BillPay,Chicago,12,1035,0
2283.73,Transfer,Dallas,7,1094,0
3104.46,POS,New York,11,1027,0
1394.13,Transfer,Houston,22,1002,0
948.72,POS,Boston,23,1005,0
2323.86,BillPay,Boston,20,1044,0
1773.23,Cheque,Atlanta,0,1022,0
2922.44,BillPay,Boston,19,1006,0
397.9,ATM,Atlanta,17,1060,0
4872.23,ATM,Boston,2,1099,0
4931.19,ATM,Houston,11,1064,0
3493.83,BillPay,Boston,18,1005,0
2685.12,Online,Dallas,12,1023,0
1554.54,BillPay,Seattle,9,1036,0
4070.84,Cheque,Los Angeles,14,1044,0
3426.81,Transfer,Dallas,19,1050,1
821.46,BillPay,Boston,1,1099,0
4555.53,BillPay,Miami,18,1087,0
4114.46,POS,Chicago,2,1044,0
4749.5,POS,Seattle,13,1062,0
3631.34,POS,Los Angeles,6,1028,0
3070.94,BillPay,Chicago,7,1095,0
2097.03,Online,Dallas,10,1024,0
4664.32,Transfer,Houston,21,1009,1
4331.66,Transfer,Houston,19,1034,1
235.64,Cheque,Chicago,5,1054,0
141.57,Online,Miami,10,1024,0
1888.55,Online,Chicago,16,1090,0
4054.66,Transfer,Dallas,9,1044,1
4936.51,ATM,Chicago,23,1095,1
760.58,POS,Los Angeles,16,1011,0
2974.71,POS,Miami,20,1003,0
1910.65,Transfer,San Francisco,1,1089,0
4849.87,Online,New York,5,1066,1
4212.17,Cheque,San Francisco,4,1016,0
4193.26,ATM,Atlanta,3,1072,0
2348.78,Transfer,Chicago,1,1092,0
2079.95,POS,Houston,11,1064,0
1374.3,BillPay,San Francisco,2,1081,0
291.31,Online,Boston,5,1052,0
4324.96,BillPay,Dallas,23,1083,1
4066.38,Cheque,San Francisco,13,1056,0
4998.59,Transfer,Seattle,7,1097,1
4983.22,POS,Miami,20,1027,0
2781.6,ATM,Dallas,20,1098,0
3847.25,BillPay,Houston,13,1015,0
4724.38,ATM,Atlanta,2,1020,0
4249.74,Cheque,San Francisco,15,1076,0
1244.27,POS,Miami,14,1098,0
2258.22,BillPay,New York,6,1041,0
654.51,Cheque,Miami,14,1053,0
4770.71,ATM,Miami,12,1031,0
3034.81,ATM,Dallas,5,1037,0
1150.93,BillPay,New York,14,1069,0
3361.79,POS,Miami,16,1037,0
3094.46,ATM,Seattle,3,1053,0
1797.23,Transfer,San Francisco,21,1059,0
576.65,Cheque,San Francisco,21,1076,0
3361.15,BillPay,Seattle,13,1076,0
2606.34,Online,San Francisco,14,1046,0
3863.87,Online,Miami,11,1011,1
2605.62,POS,Atlanta,18,1052,0
4262.39,Transfer,Miami,21,1032,1
2764.02,ATM,Dallas,9,1027,0
2809.08,Online,Boston,5,1002,0
4384.5,POS,Atlanta,8,1081,0
2023.38,Cheque,Houston,1,1025,0
678.74,Transfer,Houston,3,1053,0
153.63,Transfer,Atlanta,8,1039,0
3778.13,POS,Miami,14,1065,0
3105.34,POS,Chicago,12,1067,0
3523.36,ATM,Boston,19,1091,0
1072.69,POS,Seattle,7,1091,0
690.49,ATM,Miami,18,1088,0
82.58,ATM,Atlanta,18,1089,0
1759.43,BillPay,Chicago,15,1046,0
2953.69,Transfer,Miami,10,1001,0
1967.3,Cheque,Chicago,9,1041,0
2193.0,Transfer,Atlanta,7,1033,0
4521.75,Transfer,Miami,0,1093,1
1747.79,BillPay,New York,9,1020,0
2574.81,ATM,San Francisco,17,1043,0
3920.43,ATM,Atlanta,2,1086,0
1988.75,POS,Houston,10,1096,0
3114.21,BillPay,Houston,17,1001,0
4313.19,POS,Boston,2,1090,0
4748.11,BillPay,Los Angeles,7,1058,0
743.9,POS,Houston,13,1085,0
4633.67,Online,Los Angeles,5,1097,1
2465.66,Transfer,New York,14,1015,0
1298.64,Transfer,Atlanta,13,1019,0
2301.09,Cheque,Chicago,6,1025,0
4900.36,ATM,Boston,9,1015,0
2468.16,Cheque,San Francisco,14,1069,0
1650.47,Online,Seattle,9,1022,0
3170.67,Cheque,Los Angeles,21,1041,0
1208.33,Transfer,San Francisco,16,1036,0
388.56,ATM,Boston,18,1071,0
653.11,Online,Boston,16,1005,0
648.95,Transfer,Houston,11,1036,0
767.99,POS,San Francisco,14,1021,0
702.75,BillPay,Miami,11,1005,0
3207.96,Online,Dallas,8,1031,1
917.58,ATM,Boston,4,1016,0
1734.88,Cheque,Los Angeles,3,1037,0
4484.97,Cheque,Seattle,11,1016,0
2375.07,Online,Seattle,15,1036,0
3341.11,ATM,New York,8,1022,0
869.88,Online,New York,2,1048,0
969.52,ATM,Houston,20,1060,0
213.93,Cheque,Miami,2,1048,0
852.99,Transfer,Houston,17,1060,0
1400.17,POS,Seattle,16,1076,0
893.28,Transfer,Chicago,9,1031,0
452.63,POS,Seattle,1,1085,0
611.97,Cheque,Boston,23,1062,0
2309.29,Transfer,San Francisco,10,1006,0
1039.61,Transfer,San Francisco,23,1021,1
1827.71,Online,Boston,2,1084,0
2522.05,BillPay,Boston,22,1005,0
3455.07,Cheque,Seattle,22,1060,0
206.17,ATM,San Francisco,1,1013,0
3999.06,Cheque,San Francisco,8,1015,0
3143.22,ATM,Atlanta,18,1002,0
417.98,ATM,San Francisco,1,1008,0
4369.16,POS,Boston,18,1046,0
4605.15,ATM,New York,1,1084,0
314.78,ATM,Miami,14,1093,0
1391.62,Online,Chicago,23,1093,1
4032.94,Transfer,Boston,20,1041,1
3743.82,Cheque,San Francisco,2,1041,0
930.76,Cheque,Los Angeles,4,1095,0
1054.65,ATM,Seattle,10,1022,0
1858.66,BillPay,Seattle,23,1002,0
2427.77,Cheque,Miami,6,1000,0
3095.09,ATM,Boston,5,1066,0
1850.88,POS,Miami,13,1070,0
2318.05,POS,New York,0,1002,0
3739.88,POS,Dallas,16,1099,0
193.05,ATM,Houston,16,1048,0
1269.66,Online,Los Angeles,13,1066,0
3569.61,BillPay,Houston,9,1054,0
4477.08,ATM,Dallas,7,1003,0
2563.27,Online,Los Angeles,7,1030,0
2665.25,Online,Houston,13,1065,0
544.79,Cheque,Los Angeles,6,1077,0
2242.59,ATM,Miami,5,1063,0
2667.76,ATM,Chicago,3,1030,0
1219.93,Online,Atlanta,0,1062,0
1353.52,Online,Los Angeles,14,1065,0
1892.65,Online,Dallas,14,1030,0
110.16,Cheque,Miami,0,1046,0
1617.18,ATM,Atlanta,19,1021,0
1065.13,Online,Miami,2,1073,0
1644.21,POS,New York,22,1093,0
607.61,ATM,San Francisco,4,1096,0
4453.73,Cheque,Seattle,4,1082,0
2972.03,POS,New York,3,1045,0
3398.72,Transfer,Dallas,16,1088,1
3947.96,ATM,Boston,20,1057,0
2497.23,Transfer,Boston,19,1060,0
443.73,Online,Seattle,13,1045,0
2690.16,Cheque,Miami,7,1000,0
2938.34,Online,Chicago,1,1095,0
3729.74,Cheque,Dallas,7,1024,0
2163.98,BillPay,Seattle,0,1060,0
646.63,Online,Atlanta,3,1080,0
1426.04,Transfer,Atlanta,18,1013,0
1821.78,Cheque,Boston,4,1044,0
3233.13,Online,San Francisco,4,1076,1
2858.18,ATM,Miami,20,1038,0
1786.92,Cheque,Boston,19,1065,0
4932.71,Cheque,Chicago,23,1031,1
3032.82,Online,Seattle,18,1095,1
1193.76,BillPay,Los Angeles,11,1057,0
517.89,Online,Chicago,19,1055,0
772.77,Transfer,Los Angeles,0,1005,0
1237.33,Transfer,Miami,6,1088,0
811.8,Cheque,Seattle,16,1066,0
940.97,Cheque,Atlanta,1,1081,0
1432.62,Online,Atlanta,10,1049,0
875.13,Transfer,New York,6,1037,0
4484.86,Transfer,Atlanta,16,1002,1
410.37,BillPay,Dallas,2,1004,0
